分类: 体育频道, 名称: CCTV16奧運頻道, 有效: 10, IPv4: 39, IPv6: 0, 最小延迟: 65 ms, 最高速率: 88.26 M/s, 平均速率: 45.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.86, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-1, 有效: 17, IPv4: 60, IPv6: 0, 最小延迟: 58 ms, 最高速率: 96.35 M/s, 平均速率: 35.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.89, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-2, 有效: 11, IPv4: 53, IPv6: 0, 最小延迟: 54 ms, 最高速率: 107.06 M/s, 平均速率: 34.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.64, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-3, 有效: 15, IPv4: 52, IPv6: 0, 最小延迟: 61 ms, 最高速率: 81.09 M/s, 平均速率: 30.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-4, 有效: 15, IPv4: 57, IPv6: 0, 最小延迟: 64 ms, 最高速率: 58.04 M/s, 平均速率: 26.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-6, 有效: 14, IPv4: 52, IPv6: 0, 最小延迟: 48 ms, 最高速率: 65.46 M/s, 平均速率: 27.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.86, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-7, 有效: 12, IPv4: 52, IPv6: 0, 最小延迟: 46 ms, 最高速率: 114.96 M/s, 平均速率: 41.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.08, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-8, 有效: 14, IPv4: 49, IPv6: 0, 最小延迟: 56 ms, 最高速率: 90.48 M/s, 平均速率: 20.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.06, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-9, 有效: 15, IPv4: 53, IPv6: 0, 最小延迟: 67 ms, 最高速率: 77.69 M/s, 平均速率: 27.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.65, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-10, 有效: 12, IPv4: 52, IPv6: 0, 最小延迟: 54 ms, 最高速率: 89.44 M/s, 平均速率: 38.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.41, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-11, 有效: 10, IPv4: 49, IPv6: 0, 最小延迟: 74 ms, 最高速率: 48.76 M/s, 平均速率: 25.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-12, 有效: 12, IPv4: 51, IPv6: 0, 最小延迟: 67 ms, 最高速率: 76.94 M/s, 平均速率: 31.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.81, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-13, 有效: 12, IPv4: 54, IPv6: 0, 最小延迟: 55 ms, 最高速率: 88.87 M/s, 平均速率: 35.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-14, 有效: 16, IPv4: 53, IPv6: 0, 最小延迟: 36 ms, 最高速率: 104.03 M/s, 平均速率: 24.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.65, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-15, 有效: 15, IPv4: 51, IPv6: 0, 最小延迟: 52 ms, 最高速率: 47.84 M/s, 平均速率: 22.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-17, 有效: 11, IPv4: 45, IPv6: 0, 最小延迟: 37 ms, 最高速率: 95.92 M/s, 平均速率: 42.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CETV1, 有效: 0, IPv4: 18, IPv6: 0, 最小延迟: 596 ms, 最高速率: 0.04 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CETV2, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: 234 ms, 最高速率: 5.65 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CETV4, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 60 ms, 最高速率: 5.69 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV4K, 有效: 7, IPv4: 23, IPv6: 0, 最小延迟: 55 ms, 最高速率: 95.52 M/s, 平均速率: 45.60 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV风云剧场, 有效: 8, IPv4: 12, IPv6: 0, 最小延迟: 37 ms, 最高速率: 89.94 M/s, 平均速率: 17.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 文化精品, 有效: 7, IPv4: 9, IPv6: 0, 最小延迟: 36 ms, 最高速率: 47.61 M/s, 平均速率: 20.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.43, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 央视台球, 有效: 3, IPv4: 13, IPv6: 0, 最小延迟: 56 ms, 最高速率: 74.94 M/s, 平均速率: 30.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 风云音乐, 有效: 8, IPv4: 13, IPv6: 0, 最小延迟: 49 ms, 最高速率: 45.05 M/s, 平均速率: 18.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.62, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 第一剧场, 有效: 8, IPv4: 15, IPv6: 0, 最小延迟: 37 ms, 最高速率: 56.93 M/s, 平均速率: 15.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 怀旧剧场, 有效: 8, IPv4: 13, IPv6: 0, 最小延迟: 36 ms, 最高速率: 50.06 M/s, 平均速率: 13.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.62, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 女性时尚, 有效: 8, IPv4: 12, IPv6: 0, 最小延迟: 36 ms, 最高速率: 52.71 M/s, 平均速率: 17.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 高尔夫网球, 有效: 6, IPv4: 10, IPv6: 0, 最小延迟: 55 ms, 最高速率: 2.97 M/s, 平均速率: 0.88 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 风云足球, 有效: 8, IPv4: 13, IPv6: 0, 最小延迟: 38 ms, 最高速率: 45.08 M/s, 平均速率: 21.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
